/home/imran/Documents/projects/scraper/venv/bin/python /home/imran/Documents/projects/scraper/mongo/test3.py
574
1 153998.25 [{'name': 'Creality Ender 3 Pro 3D Printer'}, 35]
2 139999.30000000002 [{'name': 'Creality CR-10S Pro 3D Printer'}, 14]
3 94999.05 [{'name': 'Creality Ender 3 Pro - Silent Edition'}, 19]
4 39995.0 [{'name': 'FlashForge Adventurer 3 3D Printer'}, 5]
5 37711.799999999996 [{'name': 'Capricorn XS PTFE Tubing for 1.75mm - 1m Long'}, 164]
6 29999.95 [{'name': 'FlashForge Guider IIs 3D Printer'}, 1]
7 21996.0 [{'name': 'Creality Ender 5 3D Printer'}, 4]
8 19999.9 [{'name': 'Anycubic Photon-S 3D Printer'}, 2]
9 16195.949999999999 [{'name': 'CCTREE PLA Filament - 1.75mm'}, 81]
10 15999.9 [{'name': 'DIYElectronics Prusa i3 Premium Kit'}, 2]
11 15499.9 [{'name': 'The LattePanda Alpha 864s – Ultimate Windows / Linux Mini PC - Win10 Pro Activated'}, 2]
12 14999.95 [{'name': 'Creality CR-10 S5 3D Printer'}, 1]
13 12999.95 [{'name': 'Creality CR-X 3D Printer'}, 1]
14 12999.5 [{'name': 'Switching DC 30V 10A Lab PSU'}, 10]
15 12579.150000000001 [{'name': 'Raspberry Pi 4 Model B 2G'}, 17]
16 11999.95 [{'name': 'Anycubic Predator - Large Delta 3D Printer'}, 1]
17 11992.0 [{'name': 'Cable Ties 205x4.8mm - 100 Pack'}, 160]
18 10198.3 [{'name': 'eSUN PLA+ Filament - 1.75mm Black'}, 34]
19 9999.95 [{'name': 'Creality CR-10S 3D Printer'}, 1]
20 9198.85 [{'name': 'eSUN PETG Filament - 1.75mm Black'}, 23]
21 8998.5 [{'name': 'eSUN PLA+ Filament - 1.75mm White'}, 30]
22 7999.5 [{'name': 'BLTouch Smart V3.1 - Auto Bed Levelling Sensor: 2019 Edition'}, 10]
23 7799.700000000001 [{'name': 'Arduino Zero to Hero Learning Kit'}, 6]
24 7198.2 [{'name': 'CCTREE ABS Filament - 1.75mm'}, 36]
